symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
MIRAUSDTUSDT,0.3805902,0.37507430623140003,2025-10-13 14:45:00,2025-10-13 14:45:00,-3.1671143657061362,Stop Loss,0 days 00:00:00,67.82552620142064,35.73587585522567,3.472061551882476,0.016302918748356515
PYTHUSDTUSDT,0.134067,0.132123966969,2025-10-13 15:00:00,2025-10-13 15:00:00,-3.097050992862239,Stop Loss,0 days 00:00:00,66.2162700735874,29.560849258666757,7.7905902277129995,0.0693180122369795
PYTHUSDTUSDT,0.133916925,0.13197606700597497,2025-10-13 15:15:00,2025-10-13 15:15:00,-3.0285375723242725,Stop Loss,0 days 00:00:00,65.74118511226743,31.503961372030112,2.5156557582116497,0.008218154650728351
LDOUSDTUSDT,0.9810903,0.9825609543597,2025-10-13 17:00:00,2025-10-13 17:00:00,0.19727794147356453,Smart Break-even,0 days 00:00:00,69.00973998675568,26.823368066473048,3.2544174871535803,0.020293697736079867
HUSDTUSDT,0.129474705,0.127598228100435,2025-10-13 18:00:00,2025-10-13 18:00:00,-2.963648856830645,Stop Loss,0 days 00:00:00,83.39141370834864,53.43207600092931,2.6920686393190008,0.012599520754425234
LINEAUSDTUSDT,0.021540765,0.021228574692855,2025-10-13 19:00:00,2025-10-13 19:00:00,-2.8980865780942193,Stop Loss,0 days 00:00:00,84.96810392603678,29.469964836074812,3.121492739708379,0.007895959126799815
IPUSDTUSDT,7.2246105,7.1199042200235,2025-10-13 19:45:00,2025-10-13 19:45:00,-2.8339746777935453,Stop Loss,0 days 00:00:00,72.79921970037998,46.79133831196522,3.1471351082283596,0.020360110803324134
SUSDTUSDT,0.21590789999999999,0.2162315459421,2025-10-13 20:00:00,2025-10-13 21:15:00,0.18460417850925664,Smart Break-even,0 days 01:15:00,76.69580267420125,33.94773904000168,4.187099125815179,0.0
OMUSDTUSDT,0.131015475,0.129116667720825,2025-10-13 21:15:00,2025-10-13 21:15:00,-2.7673254884877,Stop Loss,0 days 00:00:00,87.34340979476681,44.20018091235973,5.984423637451948,0.0019856422789064476
OMUSDTUSDT,0.144922425,0.145139663715075,2025-10-13 22:15:00,2025-10-13 22:15:00,0.18052593111304785,Smart Break-even,0 days 00:00:00,78.00461166917043,52.24463029253165,5.357814894526068,0.06297472724761766
KGENUSDTUSDT,0.2185092,0.2188367452908,2025-10-14 00:00:00,2025-10-14 00:00:00,0.18065449146214088,Smart Break-even,0 days 00:00:00,85.12633601779426,37.13155238389148,5.419067698079424,0.026400073206442155
KGENUSDTUSDT,0.21828909,0.21512542621863,2025-10-14 00:15:00,2025-10-14 00:15:00,-2.7139196258029172,Stop Loss,0 days 00:00:00,84.30195966677479,41.88731092999018,3.323568111814225,0.04401247019988996
CELOUSDTUSDT,0.3411705,0.3362259159435,2025-10-14 00:30:00,2025-10-14 00:30:00,-2.653881894084138,Stop Loss,0 days 00:00:00,68.34618624918521,50.56935229381039,2.879992642186049,0.0029325513196480964
MIRAUSDTUSDT,0.39909944999999997,0.4038049822031358,2025-10-14 01:00:00,2025-10-14 01:00:00,1.9528055337468575,Smart Trailing (Max 33%),0 days 00:00:00,69.02495898702593,50.609038180028215,4.320227854675958,0.003760340937578344
MIRAUSDTUSDT,0.40410194999999993,0.413277855440018,2025-10-14 01:15:00,2025-10-14 01:15:00,3.9001695057577255,Smart Trailing (Max 54%),0 days 00:00:00,73.58984378534332,50.95394845745225,3.523196698446257,0.004456548650656162
MIRAUSDTUSDT,0.4126062,0.4132246966938,2025-10-14 01:30:00,2025-10-14 01:30:00,0.18084777755643752,Smart Break-even,0 days 00:00:00,79.4959284738676,53.556998015124286,3.2901833842971526,0.006060606060606067
MIRAUSDTUSDT,0.41060519999999995,0.4046542988364,2025-10-14 01:45:00,2025-10-14 01:45:00,-2.716823306306103,Stop Loss,0 days 00:00:00,75.28746950411603,55.082940456511714,3.8454894896632883,0.019001218026796662
1000RATSUSDTUSDT,0.031425705,0.030970252257435,2025-10-14 02:15:00,2025-10-14 02:15:00,-2.656721338937372,Stop Loss,0 days 00:00:00,86.43426393691149,27.687190966150848,4.91626321690906,0.0028653295128939766
1000RATSUSDTUSDT,0.030765374999999998,0.030319492420124997,2025-10-14 02:30:00,2025-10-14 02:30:00,-2.5979489561879974,Stop Loss,0 days 00:00:00,71.22056135999767,32.60683306478439,2.646536821173752,0.02146341463414637
IPUSDTUSDT,7.0105034999999996,7.0210122447465,2025-10-14 03:45:00,2025-10-14 03:45:00,0.169229540625063,Smart Break-even,0 days 00:00:00,65.13154494304665,30.634722199228545,4.282262728962706,0.007278435849864444
ALICEUSDTUSDT,0.5332665,0.578260725,2025-10-14 04:45:00,2025-10-14 04:45:00,14.221929636354409,Smart Trailing (Max 175%),0 days 00:00:00,76.8714834758161,32.118151991016305,7.479194007633528,0.03752345215759853
ALICEUSDTUSDT,0.5662829999999999,0.5580758604809999,2025-10-14 05:00:00,2025-10-14 05:00:00,-2.8449371058251547,Stop Loss,0 days 00:00:00,81.33815734761465,36.74880588664188,5.228691163566103,0.0247349823321555
